run,quota,acceptable,cashflow,red_biomass,blue_biomass,red_landings,blue_landings
4,500,1.0,110887.38287175185,2844929.588050869,2894409.959177626,109300.055,22200.159999999993
4,500,1.1,98735.28538971148,2881182.2103560204,2894547.070273451,88400.035,22700.139999999996
4,500,1.2,102731.90889910763,2874614.566074499,2893590.494671028,86200.03,22000.145
4,500,1.3,93810.31161470883,2893050.5614715936,2893127.030983963,66100.03,22400.165
4,500,1.4,98999.61362478457,2835182.102864377,2891789.0600826177,81800.02,23100.17
4,500,1.5,101005.90509523693,2814540.652489202,2891873.115911839,87400.035,22700.155000000002
4,500,1.6,88946.36476463905,2866789.9444049285,2889422.358084365,81700.02,23700.185
4,500,1.7,86326.09242986146,2880513.533641773,2887709.8458909513,63100.005000000005,24400.195000000003
4,500,1.8,89312.66375602456,2850765.7541238717,2887471.313527546,65600.01000000001,24500.205
4,500,1.9,80552.50351062059,2898790.6081379508,2886816.9715784816,50600.0,25000.195
4,500,2.0,81404.3634702155,2873912.2512380364,2889084.4551020702,63200.020000000004,24100.125
4,500,9999,60868.475628250046,2920678.579104016,2839031.997371187,27158.565000000002,24900.24
4,1000,0.1,124483.87521133965,2892946.7659351304,2895581.2864094544,90600.91999999998,26000.120000000003
