x,y,depth
-684379.1512477549,322138.7641041705,-58.449974060058594
-674227.578003444,322044.248622077,-64.08995056152344
-664078.9600274058,321950.58341959224,-71
-653933.2706413106,321857.7672876365,-66.10003662109375
-643790.4832043629,321765.79902892676,-65
-633650.5711129501,321674.67745793797,-67
-623513.5078002685,321584.40140086546,-68
-613379.2667359563,321494.969695587,-67
-603247.8214257453,321406.38119162526,-64.72992706298828
-593119.1454110765,321318.6347501112,-62
-582993.2122687569,321231.72924374783,-63
-572869.995610585,321145.6635567732,-64.48978424072266
-562749.4690830102,321060.4365849262,-62
-552631.6063667531,320976.0472354101,-66.29991149902344
-542516.3811764611,320892.49442685785,-70.21012115478516
-532403.7672603551,320809.77708929824,-83.30027770996094
-522293.73839986615,320727.89416412136,-95.3006591796875
-512186.26840928826,320646.8446040448,-86.460296630859375
-502081.33113542094,320566.6273730807,-82.87047576904297
-491978.9004572192,320487.2414465026,-83.80933380126953
-481878.9502854475,320408.68581081316,-79.50018310546875
-471781.4545623228,320330.9594637117,-75
-461686.3872611718,320254.0614140629,-71.900146484375
-451593.7223860761,320177.9906818647,-65.06977844238281
-441503.43397153495,320102.7462982183,-63.30030822753906
-431415.4960821121,320028.3273052968,-35.64896774291992
-421329.88281209604,319954.732756315,-9.490079879760742
-411246.5682851495,319881.9617155,-4.299909591674805
-401165.5266539701,319810.01325806114,-11.700090408325195
-391086.73209995625,319738.8864701615,-27.891250610351562
-381010.1588328496,319668.5804488885,-41.85004425048828
-370935.78109040926,319599.0943022258,-47.30047607421875
-360863.5731380603,319530.42714902543,-51
-350793.5092685713,319462.5781189799,-53
-340725.5638016986,319395.5463525949,-56
-330659.71108385886,319329.3310011624,-58
-320595.92548779456,319263.93122673436,-56.489986419677734
-310534.1814122322,319199.34620209574,-53
-300474.4532815593,319135.57511073945,-54.60023880004883
-290416.71554547444,319072.61714684044,-56.70008850097656
-280360.94267866586,319010.4715152303,-58
-270307.1091804786,318949.1374313732,-59.790260314941406
-260255.1895745796,318888.61412134033,-61.1002197265625
-250205.15840863134,318828.90082178684,-61.03005599975586
-240156.99025395408,318769.99677992734,-54.08972930908203
-230110.65970520664,318711.9012535127,-48
-220066.1413800537,318654.61351080734,-40.2098503112793
-210023.40991883376,318598.13283056556,-37.269962310791016
-199982.43998424173,318542.45850201,-32.09967041015625
-189943.20626099047,318487.5898248091,-29.700090408325195
-179905.6834555011,318433.5261090558,-30
-169869.84629556036,318380.26667524554,-32
-159835.66953001113,318327.8108542558,-28.96988868713379
-149803.1279284187,318276.1579873248,-19.830129623413086
-139772.19628074986,318225.3074260315,-5.699741363525391
-129742.84939706151,318175.2585322756,-2.8500452041625977
-119715.06210715894,318126.0106782575,-4
-109688.80926029314,318077.5632464591,-4
-99664.06572482537,318029.9156296247,100
-89640.80638792436,317983.06723074213,100
-79619.00615522824,317937.01746302436,100
-69598.63995053596,317891.76574989175,100
-59579.68271549058,317847.3115249538,100
-49562.10940925672,317803.65423199185,100
-39545.89500820602,317760.7933249421,100
-29531.014505596133,317718.7282678788,100
-19517.44291126181,317677.4585349974,100
-9505.155251295131,317636.9836105989,100
505.8734322731616,317597.3029890736,100
10515.668081779208,317558.41617488593,100
20524.253624251054,317520.3226825587,100
30531.654971713026,317483.0220366588,100
40537.897021504,317446.51377178216,100
50543.004656587844,317410.79743254,100
60547.0027458698,317375.8725735439,100
70549.91614450718,317341.7387593935,100
80551.76969421149,317308.395564662,100
90552.58822357631,317275.84257388365,100
100552.39654837374,317244.079381541,100
110551.21947187587,317213.1055920525,100
120549.08178515034,317182.9208197604,100
130546.00826738687,317153.52468891884,100
140542.02368619683,317124.9168336824,100
150537.1527979214,317097.0968980951,100
160531.4203479432,317070.0645360793,100
170524.8510709931,317043.81941142527,100
180517.46969146095,317018.36119778093,100
190509.30092370138,316993.6895786418,100
200500.36947233765,316969.8042473414,100
210490.70003257325,316946.7049070419,100
220480.3172904955,316924.3912707252,100
230469.24592338793,316902.8630611838,100
240457.51060002897,316882.12001101277,100
250445.1359809955,316862.1618626014,100
260432.14671898657,316842.98836812546,100
270418.5674591063,316824.5992895394,100
280404.4228391787,316806.99439856946,100
290389.73749006446,316790.17347670643,100
300374.5360359346,316774.13631519926,100
310358.8430946135,316758.8827150484,100
320342.68327785423,316744.41248700005,100
330326.08119165467,316730.72545154014,100
340309.0614365601,316717.82143888914,100
350291.6486079639,316705.70028899657,100
360273.86729642237,316694.36185153667,100
370255.7420879414,316683.8059859031,100
380237.29756429116,316674.03256120515,100
390218.5583033068,316665.04145626375,100
400199.54887918837,316656.83255960775,100
410180.2938628185,316649.40576947026,100
420160.81782203366,316642.76099378587,100
430141.1453219672,316636.89815018803,100
440121.30092532054,316631.81716600596,100
450101.3091926776,316627.5179782628,100
460081.1946828185,316624.0005336738,100
470060.98195299116,316621.2647886444,100
480040.6955592532,316619.31070926937,100
490020.3600567439,316618.1382713311,100
