bin,species_code,source,sex,mortality
9,YFT,noa_class_6,male,2.878223327119527e-4
9,YFT,del_class_6,female,0.0029279213941355536
9,YFT,del_class_6,male,0.0029437766068523366
9,YFT,longline,female,0.003700198634233814
9,YFT,longline,male,0.00372023586493189
10,YFT,obj_class_1_5,female,0
10,YFT,obj_class_1_5,male,0
10,YFT,noa_class_1_5,female,2.717365716315677e-4
10,YFT,noa_class_1_5,male,2.7809768823797593e-4
10,YFT,obj_class_6,female,1.2323500393743457e-4
10,YFT,obj_class_6,male,1.2611982810861776e-4
10,YFT,noa_class_6,female,3.137381530615876e-4
10,YFT,noa_class_6,male,3.2108249012862685e-4
10,YFT,del_class_6,female,0.008307118857108076
10,YFT,del_class_6,male,0.008501581278548364
10,YFT,longline,female,0.00564081316021425
10,YFT,longline,male,0.005772859686199479
11,YFT,obj_class_1_5,female,0
11,YFT,obj_class_1_5,male,0
11,YFT,noa_class_1_5,female,2.5190157046006196e-4
11,YFT,noa_class_1_5,male,2.638046622569563e-4
11,YFT,obj_class_6,female,1.0324321652179279e-4
11,YFT,obj_class_6,male,1.0812176285805066e-4
11,YFT,noa_class_6,female,2.5539419094801433e-4
11,YFT,noa_class_6,male,2.67462319359027e-4
11,YFT,del_class_6,female,0.003419098115571537
11,YFT,del_class_6,male,0.0035806605808547335
11,YFT,longline,female,0.005259333854197854
11,YFT,longline,male,0.005507852883049866
12,YFT,obj_class_1_5,female,0
12,YFT,obj_class_1_5,male,0
12,YFT,noa_class_1_5,female,2.3385828245507754e-4
12,YFT,noa_class_1_5,male,2.4951163627592746e-4
12,YFT,obj_class_6,female,0
12,YFT,obj_class_6,male,0
12,YFT,noa_class_6,female,2.0042655457689235e-4
12,YFT,noa_class_6,male,2.138421485894271e-4
12,YFT,del_class_6,female,0.0034030154614495003
12,YFT,del_class_6,male,0.0036307970243544814
12,YFT,longline,female,0.0049139310603771615
12,YFT,longline,male,0.005242846079900252
13,YFT,obj_class_1_5,female,0
13,YFT,obj_class_1_5,male,0
13,YFT,noa_class_1_5,female,2.1782232949841063e-4
13,YFT,noa_class_1_5,male,2.3521861029490788e-4
13,YFT,obj_class_6,female,0
13,YFT,obj_class_6,male,0
13,YFT,noa_class_6,female,3.9881230075776593e-4
13,YFT,noa_class_6,male,4.306632628930774e-4
13,YFT,del_class_6,female,0.01421578033879464
13,YFT,del_class_6,male,0.015351117138674016
13,YFT,longline,female,0.004609688603172496
13,YFT,longline,male,0.004977839276750648
14,YFT,obj_class_1_5,female,0
