"Mean biomass (tons), excluding first ages specified in input"
"Time","smallpelagic1","macrozooplankton","demersal1","demersal2","demersal3","mesopelagic","smallpelagic2","smallpelagic3","largepelagic1","largepelagic2"
117.25,266307.28,485507.22,1232246.0,1985883.4,85355.0,582546.6,735389.06,512196.16,110.06687,0.0
117.5,240373.06,1091310.8,1221192.9,2017815.6,83392.58,705370.5,691998.94,490165.9,109.72539,0.0
117.75,236314.11,920246.3,1150823.5,1954661.1,76402.39,622086.3,686899.0,489033.72,109.65695,0.0
118.0,241184.84,442196.03,1086315.5,1851147.6,73886.164,492232.94,744269.44,515954.9,107.68244,0.0
118.25,220002.78,501562.5,1098989.4,1862263.8,72816.75,546666.1,735652.2,473888.2,107.18863,0.0
118.5,186399.25,1035326.0,1113768.0,1871957.8,77344.45,623068.0,759123.25,472499.88,108.180374,0.0
118.75,193091.03,977190.44,1079623.5,1801735.1,83506.63,507198.28,774332.0,487534.66,107.73998,0.0
119.0,201744.95,518777.16,1064140.1,1722024.2,80920.76,402904.28,844653.3,538263.56,106.649765,0.0
119.25,179462.28,459491.56,1136324.0,1772609.5,83978.266,428590.94,862375.6,534000.3,105.51103,0.0
119.5,160034.25,1047555.94,1190825.8,1817134.9,85129.414,540715.06,880525.0,564918.3,105.68717,0.0
119.75,182503.84,958781.2,1166718.1,1750200.1,83086.27,472452.1,849715.56,559687.2,107.01535,0.0
120.0,204997.92,425633.12,1150455.1,1702347.0,84571.63,403069.06,890266.4,578448.9,105.47766,0.0
120.25,184227.64,431989.38,1181954.0,1731011.6,81211.99,453220.4,899484.0,538411.56,105.577065,0.0
120.5,149763.17,970920.1,1178446.1,1739737.1,83443.07,537251.2,922955.06,558038.44,106.51487,0.0
120.75,143026.36,919217.2,1163267.1,1668730.0,82437.63,466724.66,916897.56,563064.44,105.75947,0.0
121.0,148191.39,507215.03,1152310.2,1550687.5,89203.625,414352.38,977800.25,598807.44,105.06087,0.0
121.25,134417.69,481467.7,1161321.5,1601069.6,98976.12,467887.28,1033518.0,575043.2,105.04467,0.0
121.5,136182.45,1111709.9,1197866.5,1588121.4,103990.42,545314.5,1061330.2,557595.7,105.15723,0.0
121.75,162723.17,981108.4,1167563.5,1521430.5,103341.56,483302.72,1019630.56,557830.6,106.426346,0.0
122.0,192637.81,410569.72,1156600.5,1526993.8,102578.46,402759.56,1081307.1,629094.94,106.13116,0.0
122.25,186267.33,487426.7,1193821.2,1597279.5,92453.16,442965.72,1044298.44,591335.5,105.50777,0.0
