day,x,y
275,-103.5,-3.5
276,-104.5,-3.5
276,-104.5,-3.5
276,-104.5,-3.5
276,-104.5,-3.5
276,-104.5,-3.5
319,-93.5,-13.5
319,-93.5,-12.5
319,-93.5,-12.5
320,-93.5,-12.5
320,-93.5,-12.5
320,-93.5,-12.5
320,-92.5,-12.5
320,-92.5,-12.5
320,-92.5,-12.5
320,-92.5,-12.5
320,-92.5,-12.5
320,-92.5,-12.5
320,-91.5,-12.5
320,-91.5,-12.5
320,-91.5,-12.5
320,-91.5,-12.5
320,-91.5,-12.5
320,-91.5,-12.5
320,-90.5,-12.5
320,-90.5,-12.5
320,-90.5,-12.5
320,-90.5,-12.5
320,-90.5,-12.5
320,-89.5,-12.5
320,-89.5,-12.5
320,-89.5,-12.5
320,-89.5,-12.5
321,-89.5,-12.5
321,-89.5,-12.5
321,-88.5,-12.5
321,-88.5,-12.5
321,-88.5,-12.5
321,-88.5,-12.5
321,-88.5,-12.5
321,-87.5,-12.5
321,-87.5,-12.5
321,-87.5,-12.5
321,-87.5,-12.5
321,-87.5,-12.5
321,-87.5,-12.5
321,-86.5,-12.5
321,-86.5,-12.5
321,-86.5,-12.5
321,-86.5,-12.5
321,-86.5,-12.5
321,-86.5,-12.5
321,-85.5,-12.5
321,-85.5,-12.5
321,-85.5,-12.5
321,-85.5,-12.5
321,-85.5,-12.5
321,-85.5,-12.5
322,-84.5,-12.5
408,-104.5,-2.5
408,-104.5,-3.5
408,-104.5,-3.5
408,-104.5,-3.5
408,-104.5,-3.5
408,-105.5,-3.5
408,-105.5,-3.5
408,-105.5,-3.5
408,-105.5,-3.5
408,-105.5,-3.5
408,-106.5,-3.5
408,-106.5,-3.5
408,-106.5,-3.5
408,-106.5,-3.5
408,-106.5,-3.5
408,-106.5,-3.5
408,-107.5,-3.5
408,-107.5,-3.5
408,-107.5,-3.5
408,-107.5,-3.5
409,-108.5,-2.5
410,-108.5,-2.5
410,-108.5,-2.5
410,-109.5,-2.5
410,-109.5,-1.5
410,-109.5,-1.5
410,-109.5,-1.5
410,-109.5,-1.5
410,-110.5,-1.5
410,-110.5,-1.5
410,-110.5,-1.5
410,-110.5,-1.5
410,-110.5,-1.5
410,-110.5,-1.5
410,-111.5,-1.5
410,-111.5,-1.5
410,-111.5,-1.5
410,-111.5,-1.5
410,-111.5,-1.5
410,-111.5,-1.5
