bet,skj,yft
0,5,0
0,0,3
0,7,0
0,25,0
16,0,8
0,24,0
0,2,0
0,3,0
0,8,0
11,0,12
0,11,0
0,0,17
0,0,5
0,28,0
2,0,18
0,4,0
0,62,0
2,0,3
0,12,0
0,6,0
0,14,0
0,5,0
16,0,4
9,0,4
0,35,0
14,0,11
10,0,12
0,8,0
0,25,0
0,39,0
7,0,8
3,0,3
0,0,0
0,0,0
0,0,0
0,101,3
0,0,0
0,0,0
0,43,0
0,11,0
0,5,0
0,7,0
0,2,0
0,3,0
0,0,0
0,0,0
0,50,0
0,30,0
0,12,0
0,14,0
0,20,0
0,10,0
0,0,0
0,0,0
0,10,0
0,0,0
0,0,0
0,0,0
0,0,0
61,19,15
0,120,0
0,80,0
0,0,0
0,62,0
0,206,0
0,10,0
0,33,0
0,12,0
0,30,0
0,13,0
0,20,0
0,103,0
0,68,4
0,20,0
0,0.01,0
0,60,4
0,80,0
0,0,15
0,87,0
0,0.01,0
0,35,0
0,15,0
0,30,0
0,25,0
0,22,0
0,15,0
0,40,0
0,25,0
0,30,0
0,0.01,0
0,50,0
0,20,0
0,30,0
0,0,0
0,20,0
0,20,0
0,5,0
0,50,0
0,82,0
0,50,0
0,30,0
0,65,0
0,0.01,0
0,45,0
0,0,0
0,0,0
0,0,0
0,0,12
0,0,12
0,0,10
0,0,26
0,0,0
0,0,0
0,0,0
0,0,0
0,26,0
0,5,0
0,13,0
0,18,0
0,10,0
0,5,0
0,10,0
0,0,0
0,0,0
0,25,0
0,8,0
0,14,0
0,0,0
0,12,0
0,33,0
0,5,0
0,10,0
0,0,0
0,0,0
0,9,0
0,0,0
0,4,0
0,6,0
0,5,0
0,18,0
0,0,0
0,13,0
0,6,0
0,8,0
0,55,0
0,33,0
0,18,0
0,8,0
0,0,0
0,44,0
0,10,0
0,0,0
0,88,0
0,22,0
0,0,55
0,0,36
0,0,40
0,0,26
0,0,12
0,48,0
0,0,0
0,27,0
0,59,0
0,16,0
0,23,0
0,32,0
0,6,0
0,0,0
0,40,0
0,0,0
0,4,0
0,7,0
0,15,0
0,0,0
0,10,0
0,8,0
0,0,0
0,5,0
0,4,0
0,7,0
0,4,0
0,10,0
0,4,0
0,6,0
0,0,0
0,20,2
0,24,1
0,15,0
0,0,0
0,0,0
0,78,0
0,51,0
0,45,0
0,74,0
0,45,0
0,20,0
0,90,10
0,10,115
0,10,3
0,0,0
0,5,0
0,7,0
0,17,0
0,0,0
0,4,0
